path,class
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_40\18_09_24-IMG_7600_cropped.jpg,Indiv_40
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_52\24_10_24-IMG_8719_cropped.jpg,Indiv_52
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_31\25_06_24-IMG_3508_cropped.jpg,Indiv_31
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_03\18_09_24-IMG_6922_cropped.jpg,Indiv_03
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_20\18_09_24-IMG_7194_cropped.jpg,Indiv_20
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_33\15_07_24-IMG_4958_cropped.jpg,Indiv_33
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_27\30_08_24-IMG_6536_cropped.jpg,Indiv_27
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_54\19_09_24-IMG_7837_cropped.jpg,Indiv_54
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_26\25_06_24-IMG_3896_cropped.jpg,Indiv_26
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_51\19_09_24-IMG_7792_cropped.jpg,Indiv_51
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_51\19_09_24-IMG_7787_cropped.jpg,Indiv_51
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_41\07_12_24-IMG_0420_cropped.jpg,Indiv_41
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_23\30_08_24-IMG_6515_cropped.jpg,Indiv_23
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_02\15_07_24-IMG_4319_cropped.jpg,Indiv_02
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_36\30_08_24-IMG_6742_cropped.jpg,Indiv_36
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_04\25_06_24-IMG_3703_cropped.jpg,Indiv_04
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_34\15_07_24-IMG_5047_cropped.jpg,Indiv_34
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_41\07_12_24-IMG_0417_cropped.jpg,Indiv_41
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_23\01_11_24-IMG_8893_cropped.jpg,Indiv_23
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_23\24_10_24-IMG_8144_cropped.jpg,Indiv_23
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_14\15_07_24-IMG_4389_cropped.jpg,Indiv_14
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_32\25_06_24-IMG_3403_cropped.jpg,Indiv_32
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_09\25_06_24-IMG_3651_cropped.jpg,Indiv_09
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_38\18_09_24-IMG_7483_cropped.jpg,Indiv_38
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_04\25_06_24-IMG_3700_cropped.jpg,Indiv_04
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_41\07_12_24-IMG_0434_cropped.jpg,Indiv_41
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_61\19_09_24-IMG_7937_cropped.jpg,Indiv_61
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_32\30_08_24-IMG_6648_cropped.jpg,Indiv_32
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_36\24_10_24-IMG_8489_cropped.jpg,Indiv_36
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_22\30_08_24-IMG_6427_cropped.jpg,Indiv_22
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_33\30_08_24-IMG_6671_cropped.jpg,Indiv_33
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_21\30_08_24-IMG_6258_cropped.jpg,Indiv_21
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_23\07_12_24-IMG_0051_cropped.jpg,Indiv_23
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_30\07_12_24-IMG_0316_cropped.jpg,Indiv_30
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_28\15_07_24-IMG_4862_cropped.jpg,Indiv_28
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_44\15_07_24-IMG_5214_cropped.jpg,Indiv_44
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_42\18_09_24-IMG_7674_cropped.jpg,Indiv_42
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_44\25_06_24-IMG_3179_cropped.jpg,Indiv_44
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_39\15_07_24-IMG_5290_cropped.jpg,Indiv_39
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_51\24_10_24-IMG_8729_cropped.jpg,Indiv_51
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_21\15_07_24-IMG_4583_cropped.jpg,Indiv_21
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_02\30_08_24-IMG_6160_cropped.jpg,Indiv_02
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_31\18_09_24-IMG_7363_cropped.jpg,Indiv_31
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_15\18_09_24-IMG_7241_cropped.jpg,Indiv_15
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_31\15_07_24-IMG_4934_cropped.jpg,Indiv_31
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_14\25_06_24-IMG_4006_cropped.jpg,Indiv_14
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_16\25_06_24-IMG_4171_cropped.jpg,Indiv_16
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_14\15_07_24-IMG_4396_cropped.jpg,Indiv_14
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_39\25_06_24-IMG_3263_cropped.jpg,Indiv_39
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_15\18_09_24-IMG_7244_cropped.jpg,Indiv_15
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_48\19_09_24-IMG_7711_cropped.jpg,Indiv_48
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_19\15_07_24-IMG_4755_cropped.jpg,Indiv_19
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_15\25_06_24-IMG_4092_cropped.jpg,Indiv_15
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_16\25_06_24-IMG_4173_cropped.jpg,Indiv_16
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_03\30_08_24-IMG_6136_cropped.jpg,Indiv_03
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_26\18_09_24-IMG_7285_cropped.jpg,Indiv_26
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_34\30_08_24-IMG_6617_cropped.jpg,Indiv_34
C:\Users\bapti\Desktop\Master Project\Individual_identification\Dataset\Full_data_set\rasp_splited\Indiv_33\30_08_24-IMG_6669_cropped.jpg,Indiv_33
